image,text
image31,i just wanna show you something comment what you think he's gonna show this goat fucker??
image32,a muslim in congress wants to get rid of homeland security let that sink in! 18 years after 9\/11 and this is where we are at?
image33,bert and ernie dress up as goats in an attempt to catfish arab men
image35,when people just talk about weed and forget your birthday (sad racist noises)
image38,gonna go outside #yolo anne frankly i thought she should have stayed home
image39,the look on his face when he discovers the blood from ahmed raping his virgin daughter
image40,hans ja? get him to auschwitz
image42,my thai girlfriend says a small penis shouldnt be a problem in a loving relationship but i still wish she didnt have one
image44,imagine if you will a group of people so disgusting... ...they have to make laws making it illegal to hate them
image45,"oh, he's using you for sex? stop bitching, sex is awesome. complain when he's using you for laundry ..or a human shield"
image46,siri take me home starting route to jail
image49,omg the middle east has ninjas too!!
image50,"religion of peace? before every one understands that slam is the i mean, how many more times they have to do this i can kind of understand why muslims get so frustrated"
image51,when fat white girls sit on the toilet
image53,how mexicans be like.. when they hear their friends kid is having a birthday party
image54,upper downer
image57,mississippi wind chime
image58,i've told my neighbor to keep thier pug out of my yard 3 times already
image59,something went... terribly wrong 1947 2017
image63,basic white girl in her natural habitat this is what i imagine heaven looks like womenwholovewine wineaisle target whitegirlwasted
image64,q: what's the difference between harry potter and jewish people? a: harry potter eventually escape the chamber
image68,when you let your ethiopian child sexslave swallow your cum i am a generous god
image70,opens ice cream shop only sells shakes
image73,i see a cat let's get it for lunch
image79,this is why no one likes black people
image80,radical muslims are snakes moderate muslims are the grass they hide in
image83,racing for pink slips in south africa
image84,so i bent him over like this and i made sure he felt the lord inside him
image89,it's a proven fact marines islamic radicals are less prone to violent acts after they've been shot in the head
image90,how i see kim burell everytime she grabs a mic!
image91,japanese fashion trends
image97,i'm not racist my drug dealer is black
image98,"what do you call a mexican midget? a paragraph, because he's too short to be an essay"
image102,crawling in mein skin these jews they will not heil!
image103,life has its ups and i have downs
image104,the floor is jews
image107,"average white \""women\"" average muslim women"
image112,my sister died in a car accident she died reading a text i sent to her hit a tree if you hate niggers this is the text hit a tree if you hate niggers
image113,when hoes backwash their drink
image115,when you find out a brown man talking to your sister
image117,this one time at camp   we got so baked
image118,when you're in heaven and you got your 72 virgins but allah lied about that one goat!
